brand,car_model,datetime,desc,id,id_,problem,status,type,type_
东风启辰,启辰T60,2020-08-29,启辰T60多次电瓶亏电无法启动希望处理,,515601,"H146,",信息审核,,2018款 1.6L CVT 智悦版(ISS) 国VI
长安马自达,马自达3 昂克赛拉,2020-08-29,长安马自达昂克赛拉发动机变速箱漏油	,,515594,"A12,B22,E43,",信息审核,,2020款 1.5L 自动 质美版
一汽-大众,探岳,2020-08-29,一汽大众探岳油泵异响希望尽快得到处理,,515592,"H78,",信息审核,,2020款 330TSI 两驱 豪华智联版
一汽-大众奥迪,奥迪A4L,2020-08-29,一汽大众奥迪A4L中控屏背面漆面起泡,,515589,"H81,",信息审核,,2018款 2.0T 时尚型 30周年年型
吉利汽车,缤瑞,2020-08-29,吉利缤瑞仪表台异响 承诺洗车服务未兑现,,515577,"H93,L314,",信息审核,,2018款 14T CVT 缤纷版
一汽-大众,高尔夫,2020-08-29,一汽大众高尔夫车内异味越来越严重,,515559,"H185,",信息审核,,2014款 1.6L  手动 时尚型
北京现代,名图,2020-08-29,北京现代名图行驶中方向跑偏四轮定位未解决,,515543,"G117,",信息审核,,2017款 1.6T 自动 智能型 GLS
众泰汽车,云100,2020-08-29,众泰云100动力电池故障要求尽快解决,,515538,"H343,",信息审核,,2014款 云100 舒适型
东风日产,逍客,2020-08-29,东风日产逍客变速箱阀体损坏不予更换,,515537,"B96,B84,",信息审核,,2016款 2.0L CVT 精英版
上汽大众,朗逸,2020-08-29,上汽大众朗逸发动机水泵处漏油要求解决,,515535,"A12,",信息审核,,2013款 1.6L 自动 舒适版 改款
广汽丰田,凯美瑞,2020-08-29,广汽丰田凯美瑞发动机漏防冻液要求解决,,515534,"A37,",信息审核,,2018款 2.5G 自动 豪华版
东风悦达起亚,起亚K2,2020-08-29,起亚K2发动机加速异响4S店无法解决,,515533,"A9,J298,J301,",信息审核,,2017款 1.4L 自动 GLS 三厢
一汽丰田,RAV4荣放,2020-08-29,一汽丰田RAV4荣放打方向卡顿有异响,,515532,"D59,D123,",信息审核,,2015款 2.0L CVT 两驱都市版
一汽-大众,C-TREK蔚领,2020-08-29,一汽大众蔚领冷车启动发动机有异响,,515525,"A9,",信息审核,,2018款 1.5L 自动 舒适型
长安跨越,跨越者D5,2020-08-29,长安跨越者D5倒车镜松动变速箱挂挡不顺畅,,515523,"B184,D156,H168,H211,",信息审核,,2019款 1.8L PLUS标准型 排半后双轮 标准货箱
东风日产,骐达TIIDA,2020-08-29,东风日产骐达电瓶亏电要求尽快解决,,515521,"H146,H170,",信息审核,,2021款 1.6L CVT 智行版
广汽乘用车,传祺GA4,2020-08-29,广汽传祺GA4变速箱漏油4S店不给解决,,515520,"B22,I295,I294,",信息审核,,2018款 150N 自动 豪华版
东风裕隆,优6 SUV,2020-08-29,纳智捷优6 SUV转向轴再次漏油要求处理,,515518,"G51,N317,",信息审核,,2016款 1.8T 时尚升级型
华晨宝马,宝马3系,2020-08-29,华晨宝马3系新车提车时前杠有剐蹭痕迹,,515517,"I295,K307,",信息审核,,2020款 330Li xDrive M运动曜夜套装
北京现代,悦动,2020-08-29,北京现代悦动发动机无法识别启动信号,,515516,"B184,",信息审核,,2018款 1.6L 自动 悦目版 GL 国V
东风启辰,启辰D60,2020-08-29,启辰D60底盘零件大面积生锈望厂家解决,,515508,"H79,I297,",信息审核,,2019款 1.6L XL CVT 智联精英版 国V
长城汽车,哈弗H6 Coupe,2020-08-29,哈弗H6 Coupe发动机异响 仪表台开裂,,515507,"A9,G56,H79,H176,H72,H90,I297,",信息审核,,2016款 1.5T 手动 两驱精英型
一汽-大众,速腾,2020-08-29,一汽大众速腾ABS传感器故障导致故障灯亮,,515506,"E74,",信息审核,,2015款 280TSI  自动 旗舰型
一汽-大众,速腾,2020-08-29,一汽大众速腾韩泰轮胎有开裂希望厂家处理,,515505,"F100,",信息审核,,2018款 280TSI DSG熠动版
广汽本田,飞度,2020-08-29,广汽本田飞度冷车启动发动机严重异响,,515503,"A9,",信息审核,,2014款 1.5L CVT LX舒适型
东风悦达起亚,智跑,2020-08-29,起亚智跑变速箱无法挂入倒挡4S店无法解决,,515499,"B184,I295,J298,",信息审核,,2018款 2.0L 手动 时尚版
广汽乘用车,传祺GM8,2020-08-29,广汽传祺GM8车门异响4S店多次维修未解决,,515498,"H72,J298,",信息审核,,2020款 领航款 390T 尊享版
一汽丰田,卡罗拉,2020-08-29,一汽丰田卡罗拉仪表转速指针不动查不出原因,,515494,"H202,J301,",信息审核,,2019款 1.2T S-CVT GL-i精英版
东风雪铁龙,雪铁龙C4L,2020-08-29,东风雪铁龙C4L发动机烧机油望厂家处理,,515493,"A63,",信息审核,,2013款 1.6THP 自动 劲智版
广汽本田,飞度,2020-08-29,广汽本田飞度转向卡滞变速箱顿挫要求解决,,515491,"B19,D123,D156,",信息审核,,2004款 两厢飞度 1.5 AT CVT
上汽大众,途观L,2020-08-29,上汽大众途观L天窗和A柱漏水希望厂家解决,,515490,"H109,H90,",信息审核,,2019款 330TSI 自动 两驱 R-Line旗舰版 国VI
东风日产,天籁,2020-08-29,东风日产天籁转向机漏油4S店不予质保,,515488,"D58,I297,",信息审核,,2016款 2.0L XL 舒适版 改款
广汽三菱,欧蓝德,2020-08-29,广汽三菱欧蓝德变速箱漏油希望厂家处理,,515486,"B22,",信息审核,,2019款 2.0L 两驱 畅享版 5座 国V
上汽大众,途观L新能源,2020-08-29,上汽大众途观L新能源漆面有伤希望厂家解决,,515484,"H81,",信息审核,,2020款 430PHEV 插电混动旗舰版
东风标致,标致508,2020-08-29,东风标致508车内异味严重希望尽快解决,,515482,"H185,",信息审核,,2012款 2.0L 自动 智享版
一汽解放,解放J6P,2020-08-29,一汽解放J6F发动机加速无力油耗高,,515481,"A163,A85,",信息审核,,2020款质惠2.0 460马力
东风标致,标致408,2020-08-29,东风标致408发动机无法启动空调压缩机抱死 ,,515479,"A44,H101,H243,",信息审核,,2015款 1.2T 自动 豪华版
长安马自达,马自达CX-30,2020-08-29,长安马自达CX-30购车时4S店变相收取费用,,515475,"K307,K308,",信息审核,,2020款 2.0L 自动 雅悦型
东风日产,天籁,2020-08-29,东风日产天籁智联App无法使用,,515474,"H155,",信息审核,,2020款 2.0L XL Upper 智行版
一汽吉林,森雅R7,2020-08-29,一汽吉林森雅R7发动机抖动异响噪音大,,515469,"A9,A24,A38,",信息审核,,2017款 1.6L 自动 智能型
上汽集团,名爵3,2020-08-29,上汽名爵3离合器时好时坏车辆无法行驶,,515467,"C267,",厂家受理,,2011款 1.3 手动 舒适版
一汽-大众,高尔夫,2020-08-29,一汽大众高尔夫大灯发白影响夜晚行车安全,,515465,"H82,",信息审核,,2019款 280TSI DSG R-Line型 国V
北京现代,领动,2020-08-29,北京现代领动转向沉重有异响车身多处生锈,,515459,"D59,D156,H79,",信息审核,,2018款 1.6L 自动 15周年特别版
一汽-大众,迈腾,2020-08-29,一汽大众迈腾车内异味严重要求厂家解决,,515457,"H185,",信息审核,,2016款 1.8TSI 智享领先型
上汽大众,途观L,2020-08-29,上汽大众途观L天窗漏水严重4S店不予解决,,515454,"H90,I295,M284,",信息审核,,2017款 330TSI 两驱 旗舰版
一汽-大众,高尔夫,2020-08-29,一汽大众高尔夫韩泰轮胎开裂4S店不保修,,515451,"F100,I297,",信息审核,,2020款 200TSI DSG 舒适型
东风标致,标致408,2020-08-29,东风标致408发动机启动时异响4S店不保修,,515448,"A9,A45,I297,",信息审核,,2016款 1.6T 自动 豪华版
北汽新能源,北汽新能源EU,2020-08-29,北汽新能源EU刹车失灵4S店不予保修,,515447,"E29,E196,I297,",信息审核,,2017款 EU260 乐途plus版
一汽-大众奥迪,奥迪A6L,2020-08-29,一汽大众奥迪A6L转向机卡滞4S店不保修,,515444,"D123,D265,I281,",信息审核,,2016款 30 FSI CVT 舒适型
上汽通用五菱,宝骏530,2020-08-29,宝骏530行驶中变速箱脱挡希望尽快处理,,515443,"B246,",处理反馈,,2018款 1.5T 手动 豪华型 国V
一汽丰田,RAV4荣放,2020-08-29,一汽丰田RAV4荣放方向盘不回正车内异响,,515439,"G117,G225,H164,H209,",信息审核,,2020款 2.0L CVT 两驱 风尚版
北京越野,北京BJ40,2020-08-29,北京BJ40转向机和前桥损坏厂家不予保修,,515438,"D265,G158,I295,I297,",信息审核,,2019款 PLUS 2.3T 手动 四驱 尊贵版 国VI
上汽大众,朗逸,2020-08-29,上汽大众朗逸车内异响4S店多次维修未解决,,515435,"H164,J298,J301,",信息审核,,2019款 1.5L 自动 视野版 国VI
广汽本田,皓影,2020-08-29,广汽本田皓影前杠两侧裂开要求解决,,515434,"H168,",信息审核,,2020款 240TURBO CVT 两驱 尊贵版
长安跨越,跨越者D5,2020-08-29,长安跨越D5发动机故障灯报警要求解决,,515433,"A34,H168,I295,",信息审核,,2019款 1.8L 舒适型 单排后双轮 标准货箱
东风标致,标致408,2020-08-29,东风标致408轮毂氧化腐蚀要求解决,,515427,"H243,",信息审核,,2014款 1.6T 自动 至尊版
东风雷诺,科雷缤,2020-08-29,东风雷诺科雷缤承诺免流量10年不兑现,,515426,"L313,",信息审核,,2019款 TCe270 自动 劲擎型
华晨宝马,宝马X3,2020-08-29,华晨宝马X3行驶中颠簸晃动售后未解决问题,,515421,"G204,G162,I295,",信息审核,,2019款 xDrive28i 豪华套装
东风乘用车,风神AX7,2020-08-29,东风风神AX7发动机异响 半轴球笼损坏,,515418,"A9,G227,I295,",信息审核,,2020款 1.6T 自动 AI领航型 国VI
北京现代,菲斯塔,2020-08-29,北京现代菲斯塔天窗异响转向沉重要求解决,,515409,"D59,H89,I295,",信息审核,,2019款 280TGDi 运动版 国V
广汽本田,雅阁,2020-08-29,广汽本田雅阁前机盖碰撞设计不合理,,515408,"Q322,",信息审核,,2018款 260TURBO 精英版 国V
东风标致,标致408,2020-08-29,东风标致408涡轮增压器异响厂家不予保修,,515406,"A9,A189,I297,",信息审核,,2018款 350THP 自动 豪华版
东风日产,轩逸,2020-08-29,东风日产轩逸发动机启停故障要求厂家解决,,515405,"H263,I295,",信息审核,,2020款 改款 1.6L XL CVT 智享版
众泰汽车,众泰T300,2020-08-29,众泰T300行驶中发动机抖动转向机异响,,515404,"A24,D59,H197,N318,",信息审核,,2017款 1.5T 手动 尊贵型
宝马（进口）,宝马X5,2020-08-29,宝马X5前置雷达与行人辅助故障无法使用,,515403,"H170,H289,J298,O348,",信息审核,,2019款 xDrive40i 尊享型 M运动套装
众泰汽车,大迈X7,2020-08-29,众泰大迈X7底盘和车身有大面积生锈现象,,515401,"H79,I293,",信息审核,,2017款 1.8T 手动 豪华型
长安马自达,马自达3 昂克赛拉,2020-08-29,长安马自达昂克赛拉中控屏开胶厂家拒赔,,515400,"H168,I297,",信息审核,,2016款 1.5L 自动 尊贵型 三厢
东风日产,骐达TIIDA,2020-08-29,东风日产骐达车机花屏电瓶亏电要求解决,,515399,"H134,H146,",信息审核,,2021款 1.6L CVT 智行版
一汽-大众,迈腾,2020-08-29,一汽大众迈腾车身漏水严重刹车踏板异响,,515397,"E43,H109,",信息审核,,2020款 330TSI DSG 豪华型
东风日产,奇骏,2020-08-29,东风日产奇骏雨刮器位置偏差4S店不解决,,515390,"H60,I295,I293,",信息审核,,2020款 2.0L XE CVT 2WD 时尚版
BEIJING汽车,BEIJING-EU5,2020-08-29,北汽EU5行驶中刹车失灵造成车辆事故,,515389,"E29,",处理反馈,,2019款 R500 智风版
上汽大众,凌渡,2020-08-29,上汽大众凌渡变速箱机电单元故障要求解决,,515388,"B96,B115,I297,",信息审核,,2015款 230TSI DSG  风尚版
东风本田,INSPIRE,2020-08-29,东风本田INSPIRE转向机异响要求厂家解决,,515387,"D59,",处理反馈,,2019款 锐·混动 2.0L 净尚版 国VI
江淮汽车,嘉悦A5,2020-08-29,江淮嘉悦A5空调按键失灵 方向盘饰板脱落,,515385,"H101,H168,",信息审核,,2020款 1.5T 手动 精英型
东风日产,逍客,2020-08-29,东风日产逍客变速箱无法加速4S店不予保修,,515384,"B334,I297,",信息审核,,2016款 2.0L CVT 豪华版
一汽-大众奥迪,奥迪A4L,2020-08-29,一汽大众奥迪A4L尾灯开裂厂家不予保修,,515380,"H220,I297,",信息审核,,2019款 40 TFSI 时尚型 国V
长城汽车,哈弗F5,2020-08-29,哈弗F5变速箱抖动严重希望给予解决,,515377,"B95,",处理反馈,,2018款 1.5T i潮版
广汽丰田,凯美瑞,2020-08-29,广汽丰田凯美瑞刹车盘轴承生锈要求解决,,515376,"E42,",信息审核,,2018款 2.5G 自动 豪华版
长安汽车,长安CS85 COUPE,2020-08-29,长安CS85 COUPE发动机异响 底盘异响,,515374,"A9,G56,",信息审核,,2019款 1.5T DCT 品版 国VI
北京现代,胜达,2020-08-29,北京现代胜达转向柱异响厂家没有配件,,515371,"D59,N318,",信息审核,,2019款 380 TGDi DLX 自动 两驱 智尊版 国V
吉利汽车,帝豪GS,2020-08-29,吉利帝豪GS大灯灯眉发黄4S店不予解决,,515370,"H82,I297,",信息审核,,2016款 1.3T 自动 领尚型 运动版
华晨鑫源,小海狮X30,2020-08-29,金杯小海狮X30刹车失灵要求尽快解决,,515369,"E29,",信息审核,,2018款 1.3L 标准型 DLCG12
比亚迪,比亚迪G5,2020-08-29,比亚迪G5中控蓝屏失灵要求尽快解决,,515364,"H134,",处理反馈,,2014款 1.5TID 自动 旗舰型
奇瑞汽车,捷途X70,2020-08-29,捷途X70发动机抖动怠速不稳 前悬挂异响,,515362,"A24,A35,G56,",处理反馈,,2018款 1.5T 自动 悦行版
一汽大众,捷达VS7,2020-08-29,捷达VS7发动机加速异响变速箱顿挫,,515361,"A9,B19,",信息审核,,2020款 1.4T 自动 悦享型
广汽丰田,雷凌双擎E+,2020-08-29,广汽丰田雷凌双擎E+车载互联数据错误,,515358,"H155,",信息审核,,2019款 1.8PH GS E-CVT 精英天窗版
一汽丰田,RAV4荣放,2020-08-29,一汽丰田rav4荣放右前侧半轴防尘套漏油,,515356,"G161,",信息审核,,2015款 2.0L CVT 两驱都市版
长安马自达,马自达3 昂克赛拉,2020-08-29,长安马自达昂克赛拉安全气囊故障报警,,515355,"H103,",信息审核,,2020款 2.0L 自动 质雅版
一汽-大众,探岳,2020-08-29,一汽大众探岳大灯透镜发白影响照明,,515354,"H82,I282,",信息审核,,2019款 330TSI 两驱 豪华型 国Ⅵ
广汽菲克菲亚特,菲翔,2020-08-29,广汽菲亚特菲翔变速箱故障导致无法挂挡,,515350,"B20,B96,B334,",信息审核,,2015款 1.4T 自动 劲享版
众泰汽车,众泰T600 Coupe,2020-08-29,众泰T600 Coupe中控导航系统黑屏无法开机,,515348,"H134,I294,",信息审核,,2017款 1.5T 手动 豪华型
长安马自达,马自达3 昂克赛拉,2020-08-29,长安马自达昂克赛拉固特异轮胎开裂,,515347,"F100,",信息审核,,2017款 1.5L 自动 舒适型 三厢 国V
北京现代,领动,2020-08-29,北京现代领动空调风口损坏4S店否认质量问题,,515344,"H101,I292,",信息审核,,2019款 1.5L CVT 智炫·精英型
雷克萨斯,雷克萨斯ES,2020-08-29,雷克萨斯ES中控仪表台开裂粘手异味,,515341,"H185,H176,",信息审核,,2007款 ES350 3.5 AT/MT 标准版 增配型
一汽-大众,高尔夫,2020-08-29,一汽大众高尔夫ABS泵故障服务态度恶劣,,515338,"E74,I293,I292,",信息审核,,2016款 1.6L  自动 时尚型
长安汽车,睿骋,2020-08-29,长安睿骋车内一直存在异味 空调制冷效果差,,515337,"H185,H101,",信息审核,,2014款 1.8T 自动 精英周年版 国IV
一汽大众,捷达VS7,2020-08-29,捷达VS7前风挡漏水 涡轮增压器生锈,,515333,"H79,H109,",信息审核,,2020款 1.4T 自动 荣耀型
上汽大众,途观,2020-08-29,上汽大众途观顶棚遮阳板天窗漏水望厂家处理,,515332,"H109,H90,",信息审核,,2016款 300TSI 自动 两驱 豪华版
北京现代,途胜,2020-08-29,北京现代途胜转向机异响 4S店不予索赔,,515325,"D59,I297,",信息审核,,2015款 1.6T   双离合 两驱 智能型
东风日产,轩逸,2020-08-29,东风日产轩逸中控屏幕黑屏厂家不给解决方案,,515323,"H134,I295,",信息审核,,2020款 1.6L XL CVT 智享版
东南汽车,东南DX3,2020-08-29,东南DX3离合器异响4S店维修后未解决,,515321,"C65,",信息审核,,2018款 1.5L 手动 尊贵型
东风日产,骐达TIIDA,2020-08-29,东风日产骐达TIIDA电瓶亏电导致无法启动,,515319,"H146,",信息审核,,2021款 1.6L CVT 智行版
东风日产,奇骏,2020-08-29,东风日产奇骏发动机及变速箱低速抖动,,515313,"A24,B19,B95,",信息审核,,2014款 2.0L XE CVT 两驱 时尚版
上汽大众,途观L,2020-08-29,上汽大众途观L行驶中后轮吃胎偏磨,,515305,"G245,I295,",信息审核,,2018款 330TSI 自动 两驱 舒适版
华晨宝马,宝马3系,2020-08-29,华晨宝马3系方向盘抖动希望厂家处理解决,,515304,"D80,I281,I292,",信息审核,,2019款 320Li M运动曜夜版
华晨宝马,宝马X3,2020-08-29,华晨宝马X3前悬挂异响希望厂家解决,,515302,"G52,I293,",信息审核,,2020款 xDrive30i 领先型 M运动套装
广汽丰田,凯美瑞,2020-08-29,广汽丰田凯美瑞发动机及变速箱故障报警,,515299,"A34,B96,",信息审核,,2019款 2.0S 锋尚版 国VI
广汽本田,缤智,2020-08-28,广汽本田缤智变速箱钢带断裂4S店不予解决,,515290,"B77,I297,",信息审核,,2015款 1.5L CVT 两驱舒适型
一汽大众,捷达VS5,2020-08-28,捷达VS5新车车窗玻璃升降异响无法关闭,,515288,"H67,",信息审核,,2019款 280TSI 手动 进取型
东风日产,轩逸,2020-08-28,东风日产轩逸发动机渗油影响正常使用,,515283,"A12,",信息审核,,2019款 1.6XE+ CVT 智联豪华版 经典
野马汽车,野马T80,2020-08-28,野马T80鸣笛喇叭不响 灯光接触不良,,515282,"H82,H151,I295,J301,N320,",处理反馈,,2017款 1.5T 手动 炫酷版
一汽红旗,红旗HS5,2020-08-28,红旗HS5行驶中发动机熄火 中控屏重启,,515277,"A14,E43,H134,H101,",信息审核,,2019款 2.0T 智联旗享版
长城汽车,哈弗H2s,2020-08-28,哈弗H2s变速箱异响要求尽快给予解决,,515276,"B33,J298,",用户评分,,2018款 1.5T 双离合 精英型 红标
东风标致,标致408,2020-08-28,东风标致408佳通轮胎胎面凹陷厂家不保修,,515273,"F92,I297,",信息审核,,2019款 360THP 自动 豪华版 国VI
广汽本田,雅阁,2020-08-28,广汽本田雅阁转向卡滞异响 车身不平,,515271,"D59,D123,D156,E43,G83,G225,H15,H93,",信息审核,,2018款 260TURBO 精英版 国VI
上汽大众,朗逸,2020-08-28,上汽大众朗逸车漆鼓包密封条开裂减配严重,,515269,"H81,H48,I294,Q350,",信息审核,,2017款 1.6L 自动 风尚版
北京现代,领动,2020-08-28,北京现代伊兰特转向沉重发动机无法提速,,515268,"A38,A160,D156,D154,G117,",信息审核,,2016款 1.6L 自动 智炫·精英型
领克汽车,领克03,2020-08-28,领克03车辆无法启动 中控屏不能显示,,515266,"H134,H146,H170,H253,",信息审核,,2020款 1.5TD DCT 劲Pro版
领克汽车,领克03,2020-08-28,领克03发动机和减震器异响4S店不予解决,,515263,"A9,G52,H168,H155,H88,I295,",信息审核,,2019款 1.5TD DCT 劲版 国VI
一汽丰田,卡罗拉,2020-08-28,一汽丰田卡罗拉变速箱顿挫4S店不予保修,,515261,"B19,I295,I297,I293,J298,",信息审核,,2017款 1.2T CVT GLX-i 改款
广汽丰田,凯美瑞,2020-08-28,广汽丰田凯美瑞半轴防尘套漏油要求解决,,515254,"G161,I297,",信息审核,,2016款 2.0G 自动 十周年纪念领先版
上汽通用五菱,五菱宏光,2020-08-28,五菱宏光车身生锈严重厂家不予解决,,515250,"H79,",处理反馈,,2013款 1.5L 豪华型L2B
广汽乘用车,传祺GS5,2020-08-28,广汽传祺GS5新车漆面损伤4S店不予解决,,515249,"M284,",信息审核,,2020款 进阶款 270T 自动 豪华版
郑州日产,风度MX5,2020-08-28,东风风度MX5变速箱无法摘挡4S店不保修,,515247,"B184,K307,",信息审核,,2016款 2.0L 手动 精英版
东风标致,标致408,2020-08-28,东风标致408召回维修后发动机烧机油严重,,515245,"A63,Q323,",信息审核,,2015款 1.2T 自动 豪华版
北汽新能源,EV系列,2020-08-28,北汽新能源EV系列空调压缩机多次故障,,515244,"H101,N318,N317,",处理反馈,,2016款 E150EV 经典版
广汽乘用车,传祺GA4,2020-08-28,广汽传祺GA4变速箱顿挫严重右前车门异响,,515242,"B19,H72,",信息审核,,2018款 200T 自动 尊享版
吉利汽车,帝豪GS,2020-08-28,吉利帝豪GS起步动力消失 变速箱换挡异响,,515241,"A255,B33,I295,I293,",信息审核,,2018款 1.8L 自动 优雅版 领尚型
一汽大众,捷达VS5,2020-08-28,捷达VS5涡轮增压器生锈 转向异响抖动,,515239,"A247,D59,D80,E43,H268,",信息审核,,2019款 280TSI 自动 进取型
一汽-大众,速腾,2020-08-28,一汽大众速腾变速箱机电控制单元故障,,515236,"B115,",信息审核,,2018款 280TSI 双离合 舒适型
东风日产,轩逸,2020-08-28,东风日产轩逸转向柱异响十分严重,,515235,"D59,H79,I297,",信息审核,,2012款 1.6L XE 手动 舒适版 经典
一汽丰田,亚洲龙,2020-08-28,一汽丰田亚洲龙下雨时发动机舱有泥浆,,515234,"Q322,",信息审核,,2019款 双擎 2.5L 豪华版 国Ⅵ
一汽-大众,迈腾,2020-08-28,一汽大众迈腾大灯亮度不足要求给予解决,,515228,"H82,",信息审核,,2018款 330TSI DSG 豪华型
路虎进口,揽胜运动版,2020-08-28,进口路虎揽胜运动版发动机漏防冻液,,515226,"A37,H134,",信息审核,,2020款 3.0 L6 HST
奇瑞汽车,艾瑞泽5,2020-08-28,奇瑞艾瑞泽5变速箱无法加速要求厂家解决,,515220,"B334,I295,J298,",信息审核,,2017款 1.5L CVT 领潮版
上汽大众,途岳,2020-08-28,上汽大众途岳4S店出售问题车辆不告知,,515219,"M284,",信息审核,,2020款 280TSI 两驱 舒适版 国VI
奇瑞汽车,瑞虎3,2020-08-28,奇瑞瑞虎3车身生锈漆面开裂严重要求解决,,515216,"H79,H81,",信息审核,,2014款 1.6L 手动 风尚版 5座
东风日产,轩逸,2020-08-28,东风日产轩逸车道偏离系统失效4S店未解决,,515213,"H170,J298,O348,",信息审核,,2020款 改款 1.6L TOP CVT 奢享版
吉利汽车,博瑞,2020-08-28,吉利博瑞转向助力失效卡死要求给予解决,,515212,"D123,D57,",信息审核,,2015款 1.8T 尊贵型
众泰汽车,众泰T500,2020-08-28,众泰T500出现质量问题厂家不处理,,515211,"B95,I295,I297,I293,I294,",信息审核,,2018款 1.5T 自动 尊享型 5座
一汽-大众,速腾,2020-08-28,一汽大众速腾变速箱异响严重要求尽快解决,,515208,"B33,",信息审核,,2019款 280TSI DSG 舒适型 国VI
奥迪（进口）,奥迪A3（进口）,2020-08-28,进口奥迪A3变速箱换挡机构故障要求召回,,515206,"B184,Q290,",信息审核,,2014款 1.8T DCT Sportback舒适型
一汽丰田,卡罗拉,2020-08-28,一汽丰田卡罗拉底盘生锈希望厂家处理,,515196,"H79,",信息审核,,2017款 1.2T S-CVT GL 改款
东风雪铁龙,雪铁龙C4L,2020-08-28,东风雪铁龙C4L节温器故障要求厂家解决,,515194,"A191,",信息审核,,2014款 1.6THP 自动 车载互联劲智型
东风悦达起亚,智跑,2020-08-28,东风悦达起亚智跑经销商出售车辆库存时间长,,515191,"M283,",信息审核,,2019款 2.0L 自动 智享豪华版
广汽丰田,凯美瑞,2020-08-28,广汽丰田凯美瑞中控台出油开裂影响视线,,515189,"H176,",信息审核,,2013款 200G 2.0 自动 经典豪华版
